MONTH,RING,Sphere,RAG Status,1st Draft Due,2nd Draft Due,Post / Pub Date,COMMENT,Time ,Instant or scheduled,Manager Approval ,Posting Manager,Content,Assigned,Type,Series,Content/Title,Content Detail,Platform,Content Type,Live Sessions,Target region,Target Language
May,72D Social Media,CANNES,FALSE,2019-05-25,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Country Coverage,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-25,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-25,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-25,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-25,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-26,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Films At Cannes,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-26,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-26,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-26,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-26,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-27,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Fashion At Cannes,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-28,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,The Festival,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-29,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Market Participants,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-30,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Country Coverage,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-31,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Women's Movement,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Blog,,Global,English
