"Posting ID","Month","Ring","Sphere","RAG","First Draft Due","Second Draft Due","Posting Date","Comment","Posting Time Range","Instant Or Scheduled","Manager Approval","Posting Manager","Content","Assigned To","Post Type","Series","Title","Content Detail","Platform","Content Type","Live Sessions","Target Region","Target Language"
"60","May","72D Social Media","CANNES","FALSE","2019-05-17","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"59","May","72D Social Media","CANNES","FALSE","2019-05-17","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"58","May","72D Social Media","CANNES","FALSE","2019-05-17","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"57","May","72D Social Media","CANNES","FALSE","2019-05-17","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"56","May","72D Social Media","CANNES","FALSE","2019-05-17","","","","10","0","0","0","The Festival","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"55","May","72D Social Media","CANNES","FALSE","2019-05-15","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"54","May","72D Social Media","CANNES","FALSE","2019-05-15","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"53","May","72D Social Media","CANNES","FALSE","2019-05-15","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"52","May","72D Social Media","CANNES","FALSE","2019-05-15","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Photo","","Global","English"
"51","May","72D Social Media","CANNES","FALSE","2019-05-15","","","","10","0","0","0","Films At Cannes","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","Screenings we are anticipating","IG + FB","Photo","","Global","English"
"50","May","72D Social Media","CANNES","FALSE","2019-05-13","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","What Nagesh is Packing","IG + FB","Photo","","Global","English"
"49","May","72D Social Media","CANNES","FALSE","2019-05-13","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","What HInly is packing","IG + FB","Photo","","Global","English"
"48","May","72D Social Media","CANNES","FALSE","2019-05-13","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","What Hannah is packing","IG + FB","Photo","","Global","English"
"47","May","72D Social Media","CANNES","FALSE","2019-05-13","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","What Im wearing to Cannes - behind the scenes","IG + FB","Photo","","Global","English"
"46","May","72D Social Media","CANNES","FALSE","2019-05-13","","","","10","0","0","0","Fashion At Cannes","TBD","Entertainment","72D Festival Coverage","Cannes Promo","Men's Fashion at Cannes","IG + FB","Photo","","Global","English"
